state_range,reward
15850-500,-10.0
15900-500,-10.0
15950-500,-10.0
16000-500,-10.0
16050-500,-10.0
16100-500,-10.0
16150-500,-10.0
16200-500,-10.0
16250-500,-10.0
16300-500,-10.0
16350-500,-10.0
16400-500,-10.0
16450-500,-10.0
16500-500,-10.0
16550-500,-10.0
16600-500,-10.0
16650-500,-10.0
16700-500,-10.0
16750-500,-10.0
16800-500,-10.0
16850-500,-10.0
16900-500,-10.0
16950-500,-10.0
17000-500,-10.0
17050-500,-10.0
17100-500,-10.0
17150-500,-10.0
17200-500,-10.0
17250-500,-10.0
17300-500,-10.0
17350-500,-10.0
17400-500,-10.0
17450-500,-10.0
17500-500,-10.0
17550-500,-10.0
17600-500,-10.0
17650-500,-10.0
17700-500,-10.0
17750-500,-10.0
17800-500,-10.0
17850-500,-10.0
17900-500,-10.0
17950-500,-10.0
18000-500,-10.0
18050-500,-10.0
18100-500,-10.0
18150-500,-10.0
18200-500,-10.0
18250-500,-10.0
18300-500,-10.0
18350-500,-10.0
18400-500,-10.0
18450-500,-10.0
18500-500,-10.0
18550-500,-10.0
18600-500,-10.0
18650-500,-10.0
18700-500,-10.0
18750-500,-10.0
18800-500,-10.0
18850-500,-10.0
18900-500,-10.0
18950-500,-10.0
19000-500,-10.0
19050-500,-10.0
19100-500,-10.0
19150-500,-10.0
19200-500,-10.0
19250-500,-10.0
19300-500,-10.0
19350-500,-10.0
19400-500,-10.0
19450-500,-10.0
19500-500,-10.0
19550-500,-10.0
19600-500,-10.0
19650-500,-10.0
19700-500,-10.0
19750-500,-10.0
19800-500,-10.0
19850-500,-10.0
19900-500,-10.0
19950-500,-10.0
20000-500,-10.0
20050-500,-10.0
20100-500,-10.0
20150-500,-10.0
20200-500,-10.0
20250-500,-10.0
20300-500,-10.0
20350-500,-10.0
20400-500,-10.0
20450-500,-10.0
20500-500,-10.0
20550-500,-10.0
20600-500,-10.0
20650-500,-10.0
20700-500,-10.0
20750-500,-10.0
20800-500,-10.0
20850-500,-10.0
20900-500,-10.0
20950-500,-10.0
21000-500,-10.0
21050-500,-10.0
21100-500,-10.0
21150-500,-10.0
21200-500,-10.0
21250-500,-10.0
21300-500,-10.0
21350-500,-10.0
21400-500,-10.0
21450-500,-10.0
21500-500,-10.0
21550-500,-10.0
21600-500,-10.0
21650-500,-10.0
21700-500,-10.0
21750-500,-10.0
21800-500,-10.0
21850-500,-10.0
21900-500,-10.0
21950-500,-10.0
22000-500,-10.0
22050-500,-10.0
22100-500,-10.0
22150-500,-10.0
22200-500,-10.0
22250-500,-10.0
22300-500,-10.0
22350-500,-10.0
22400-500,-10.0
22450-500,-10.0
22500-500,-10.0
22550-500,-10.0
22600-500,-10.0
22650-500,-10.0
22700-500,-10.0
22750-500,-10.0
22800-500,-10.0
22850-500,-10.0
22900-500,-10.0
22950-500,-10.0
23000-500,-10.0
23050-500,-10.0
23100-500,-10.0
23150-500,-10.0
23200-500,-10.0
23250-500,-10.0
23300-500,-10.0
23350-500,-10.0
23400-500,-10.0
23450-500,-10.0
23500-500,-10.0
23550-500,-10.0
23600-500,-10.0
23650-500,-10.0
23700-500,-10.0
23750-500,-10.0
23800-500,-10.0
23850-500,-10.0
23900-500,-10.0
