state_range,reward
69700-500,-10.0
69750-500,-10.0
69800-500,-10.0
69850-500,-10.0
69900-500,-10.0
69950-500,-10.0
70000-500,-10.0
70050-500,-10.0
70100-500,-10.0
70150-500,-10.0
70200-500,-10.0
70250-500,-10.0
70300-500,-10.0
70350-500,-10.0
70400-500,-10.0
70450-500,-10.0
70500-500,-10.0
70550-500,-10.0
70600-500,-10.0
70650-500,-10.0
70700-500,-10.0
70750-500,-10.0
70800-500,-10.0
70850-500,-10.0
70900-500,-10.0
70950-500,-10.0
71000-500,-10.0
71050-500,-10.0
71100-500,-10.0
71150-500,-10.0
71200-500,-10.0
71250-500,-10.0
71300-500,-10.0
71350-500,-10.0
71400-500,-10.0
71450-500,-10.0
71500-500,-10.0
71550-500,-10.0
71600-500,-10.0
71650-500,-10.0
71700-500,-10.0
71750-500,-10.0
71800-500,-10.0
71850-500,-10.0
71900-500,-10.0
71950-500,-10.0
72000-500,-10.0
72050-500,-10.0
72100-500,-10.0
72150-500,-10.0
72200-500,-10.0
72250-500,-10.0
72300-500,-10.0
72350-500,-10.0
72400-500,-10.0
72450-500,-10.0
72500-500,-10.0
72550-500,-10.0
72600-500,-10.0
72650-500,-10.0
72700-500,-10.0
72750-500,-10.0
72800-500,-10.0
72850-500,-10.0
72900-500,-10.0
72950-500,-10.0
73000-500,-10.0
73050-500,-10.0
73100-500,-10.0
73150-500,-10.0
73200-500,-10.0
73250-500,-10.0
73300-500,-10.0
73350-500,-10.0
73400-500,-10.0
73450-500,-10.0
73500-500,-10.0
73550-500,-10.0
73600-500,-10.0
73650-500,-10.0
73700-500,-10.0
73750-500,-10.0
73800-500,-10.0
73850-500,-10.0
73900-500,-10.0
73950-500,-10.0
74000-500,-10.0
74050-500,-10.0
74100-500,-10.0
74150-500,-10.0
74200-500,-10.0
74250-500,-10.0
74300-500,-10.0
74350-500,-10.0
74400-500,-10.0
74450-500,-10.0
74500-500,-10.0
74550-500,-10.0
74600-500,-10.0
74650-500,-10.0
74700-500,-10.0
74750-500,-10.0
74800-500,-10.0
74850-500,-10.0
74900-500,-10.0
74950-500,-10.0
75000-500,-10.0
75050-500,-10.0
75100-500,-10.0
75150-500,-10.0
75200-500,-10.0
75250-500,-10.0
75300-500,-10.0
75350-500,-10.0
75400-500,-10.0
75450-500,-10.0
75500-500,-10.0
75550-500,-10.0
75600-500,-10.0
75650-500,-10.0
75700-500,-10.0
75750-500,-10.0
75800-500,-10.0
75850-500,-10.0
75900-500,-10.0
75950-500,-10.0
76000-500,-10.0
76050-500,-10.0
76100-500,-10.0
76150-500,-10.0
76200-500,-10.0
76250-500,-10.0
76300-500,-10.0
76350-500,-10.0
76400-500,-10.0
76450-500,-10.0
76500-500,-10.0
76550-500,-10.0
76600-500,-10.0
76650-500,-10.0
76700-500,-10.0
76750-500,-10.0
76800-500,-10.0
76850-500,-10.0
76900-500,-10.0
76950-500,-10.0
77000-500,-10.0
77050-500,-10.0
77100-500,-10.0
77150-500,-10.0
77200-500,-10.0
77250-500,-10.0
77300-500,-10.0
77350-500,-10.0
77400-500,-10.0
77450-500,-10.0
77500-500,-10.0
77550-500,-10.0
77600-500,-10.0
77650-500,-10.0
77700-500,-10.0
77750-500,-10.0
77800-500,-10.0
77850-500,-10.0
77900-500,-10.0
77950-500,-10.0
78000-500,-10.0
78050-500,-10.0
78100-500,-10.0
78150-500,-10.0
78200-500,-10.0
78250-500,-10.0
78300-500,-10.0
78350-500,-10.0
78400-500,-10.0
78450-500,-10.0
78500-500,-10.0
78550-500,-10.0
78600-500,-10.0
78650-500,-10.0
78700-500,-10.0
78750-500,-10.0
78800-500,-10.0
78850-500,-10.0
78900-500,-10.0
78950-500,-10.0
79000-500,-10.0
79050-500,-10.0
79100-500,-10.0
79150-500,-10.0
79200-500,-10.0
79250-500,-10.0
79300-500,-10.0
79350-500,-10.0
79400-500,-10.0
79450-500,-10.0
79500-500,-10.0
79550-500,-10.0
79600-500,-10.0
79650-500,-10.0
79700-500,-10.0
79750-500,-10.0
79800-500,-10.0
79850-500,-10.0
79900-500,-10.0
79950-500,-10.0
80000-500,-10.0
80050-500,-10.0
80100-500,-10.0
80150-500,-10.0
80200-500,-10.0
80250-500,-10.0
80300-500,-10.0
80350-500,-10.0
80400-500,-10.0
80450-500,-10.0
80500-500,-10.0
80550-500,-10.0
80600-500,-10.0
80650-500,-10.0
80700-500,-10.0
80750-500,-10.0
80800-500,-10.0
80850-500,-10.0
80900-500,-10.0
80950-500,-10.0
81000-500,-10.0
81050-500,-10.0
81100-500,-10.0
81150-500,-10.0
81200-500,-10.0
81250-500,-10.0
81300-500,-10.0
81350-500,-10.0
81400-500,-10.0
81450-500,-10.0
81500-500,-10.0
81550-500,-10.0
81600-500,-10.0
81650-500,-10.0
81700-500,-10.0
81750-500,-10.0
81800-500,-10.0
81850-500,-10.0
81900-500,-10.0
81950-500,-10.0
82000-500,-10.0
82050-500,-10.0
82100-500,-10.0
82150-500,-10.0
82200-500,-10.0
82250-500,-10.0
82300-500,-10.0
82350-500,-10.0
82400-500,-10.0
82450-500,-10.0
82500-500,-10.0
82550-500,-10.0
82600-500,-10.0
82650-500,-10.0
82700-500,-10.0
82750-500,-10.0
82800-500,-10.0
82850-500,-10.0
82900-500,-10.0
82950-500,-10.0
83000-500,-10.0
83050-500,-10.0
83100-500,-10.0
83150-500,-10.0
83200-500,-10.0
83250-500,-10.0
83300-500,-10.0
83350-500,-10.0
83400-500,-10.0
83450-500,-10.0
83500-500,-10.0
83550-500,-10.0
83600-500,-10.0
83650-500,-10.0
83700-500,-10.0
83750-500,-10.0
83800-500,-10.0
83850-500,-10.0
83900-500,-10.0
83950-500,-10.0
84000-500,-10.0
84050-500,-10.0
84100-500,-10.0
84150-500,-10.0
84200-500,-10.0
84250-500,-10.0
84300-500,-10.0
84350-500,-10.0
84400-500,-10.0
84450-500,-10.0
84500-500,-10.0
84550-500,-10.0
84600-500,-10.0
84650-500,-10.0
84700-500,-10.0
84750-500,-10.0
84800-500,-10.0
84850-500,-10.0
84900-500,-10.0
84950-500,-10.0
85000-500,-10.0
85050-500,-10.0
85100-500,-10.0
85150-500,-10.0
85200-500,-10.0
85250-500,-10.0
85300-500,-10.0
85350-500,-10.0
85400-500,-10.0
85450-500,-10.0
85500-500,-10.0
85550-500,-10.0
85600-500,-10.0
85650-500,-10.0
85700-500,-10.0
85750-500,-10.0
85800-500,-10.0
85850-500,-10.0
85900-500,-10.0
85950-500,-10.0
86000-500,-10.0
86050-500,-10.0
86100-500,-10.0
86150-500,-10.0
86200-500,-10.0
86250-500,-10.0
86300-500,-10.0
86350-500,-10.0
86400-500,-10.0
86450-500,-10.0
86500-500,-10.0
86550-500,-10.0
86600-500,-10.0
86650-500,-10.0
86700-500,-10.0
86750-500,-10.0
86800-500,-10.0
86850-500,-10.0
86900-500,-10.0
86950-500,-10.0
87000-500,-10.0
87050-500,-10.0
87100-500,-10.0
87150-500,-10.0
87200-500,-10.0
87250-500,-10.0
87300-500,-10.0
87350-500,-10.0
87400-500,-10.0
87450-500,-10.0
87500-500,-10.0
87550-500,-10.0
87600-500,-10.0
87650-500,-10.0
87700-500,-10.0
87750-500,-10.0
87800-500,-10.0
87850-500,-10.0
87900-500,-10.0
87950-500,-10.0
88000-500,-10.0
88050-500,-10.0
88100-500,-10.0
88150-500,-10.0
88200-500,-10.0
88250-500,-10.0
88300-500,-10.0
88350-500,-10.0
88400-500,-10.0
88450-500,-10.0
88500-500,-10.0
88550-500,-10.0
88600-500,-10.0
88650-500,-10.0
88700-500,-10.0
88750-500,-10.0
88800-500,-10.0
88850-500,-10.0
88900-500,-10.0
88950-500,-10.0
89000-500,-10.0
89050-500,-10.0
89100-500,-10.0
89150-500,-10.0
89200-500,-10.0
89250-500,-10.0
89300-500,-10.0
89350-500,-10.0
89400-500,-10.0
89450-500,-10.0
89500-500,-10.0
89550-500,-10.0
89600-500,-10.0
89650-500,-10.0
89700-500,-10.0
89750-500,-10.0
89800-500,-10.0
89850-500,-10.0
89900-500,-10.0
89950-500,-10.0
90000-500,-10.0
90050-500,-10.0
90100-500,-10.0
90150-500,-10.0
90200-500,-10.0
90250-500,-10.0
90300-500,-10.0
90350-500,-10.0
90400-500,-10.0
90450-500,-10.0
90500-500,-10.0
90550-500,-10.0
90600-500,-10.0
90650-500,-10.0
90700-500,-10.0
90750-500,-10.0
90800-500,-10.0
90850-500,-10.0
90900-500,-10.0
90950-500,-10.0
91000-500,-10.0
91050-500,-10.0
91100-500,-10.0
91150-500,-10.0
91200-500,-10.0
91250-500,-10.0
91300-500,-10.0
91350-500,-10.0
91400-500,-10.0
91450-500,-10.0
91500-500,-10.0
91550-500,-10.0
91600-500,-10.0
91650-500,-10.0
91700-500,-10.0
91750-500,-10.0
91800-500,-10.0
91850-500,-10.0
91900-500,-10.0
91950-500,-10.0
92000-500,-10.0
92050-500,-10.0
92100-500,-10.0
92150-500,-10.0
92200-500,-10.0
92250-500,-10.0
92300-500,-10.0
92350-500,-10.0
92400-500,-10.0
92450-500,-10.0
92500-500,-10.0
92550-500,-10.0
92600-500,-10.0
92650-500,-10.0
92700-500,-10.0
92750-500,-10.0
92800-500,-10.0
92850-500,-10.0
92900-500,-10.0
92950-500,-10.0
93000-500,-10.0
93050-500,-10.0
93100-500,-10.0
93150-500,-10.0
93200-500,-10.0
93250-500,-10.0
93300-500,-10.0
93350-500,-10.0
93400-500,-10.0
93450-500,-10.0
93500-500,-10.0
93550-500,-10.0
93600-500,-10.0
93650-500,-10.0
93700-500,-10.0
93750-500,-10.0
93800-500,-10.0
93850-500,-10.0
93900-500,-10.0
93950-500,-10.0
94000-500,-10.0
94050-500,-10.0
94100-500,-10.0
94150-500,-10.0
94200-500,-10.0
94250-500,-10.0
94300-500,-10.0
94350-500,-10.0
94400-500,-10.0
94450-500,-10.0
94500-500,-10.0
94550-500,-10.0
94600-500,-10.0
94650-500,-10.0
94700-500,-10.0
94750-500,-10.0
94800-500,-10.0
94850-500,-10.0
94900-500,-10.0
94950-500,-10.0
95000-500,-10.0
95050-500,-10.0
95100-500,-10.0
95150-500,-10.0
95200-500,-10.0
95250-500,-10.0
95300-500,-10.0
95350-500,-10.0
95400-500,-10.0
95450-500,-10.0
95500-500,-10.0
95550-500,-10.0
95600-500,-10.0
95650-500,-10.0
95700-500,-10.0
95750-500,-10.0
95800-500,-10.0
95850-500,-10.0
95900-500,-10.0
95950-500,-10.0
96000-500,-10.0
96050-500,-10.0
96100-500,-10.0
96150-500,-10.0
96200-500,-10.0
96250-500,-10.0
96300-500,-10.0
96350-500,-10.0
96400-500,-10.0
96450-500,-10.0
96500-500,-10.0
96550-500,-10.0
96600-500,-10.0
96650-500,-10.0
96700-500,-10.0
96750-500,-10.0
96800-500,-10.0
96850-500,-10.0
96900-500,-10.0
96950-500,-10.0
97000-500,-10.0
97050-500,-10.0
97100-500,-10.0
97150-500,-10.0
97200-500,-10.0
97250-500,-10.0
97300-500,-10.0
97350-500,-10.0
97400-500,-10.0
97450-500,-10.0
97500-500,-10.0
97550-500,-10.0
97600-500,-10.0
97650-500,-10.0
97700-500,-10.0
97750-500,-10.0
97800-500,-10.0
97850-500,-10.0
97900-500,-10.0
97950-500,-10.0
98000-500,-10.0
98050-500,-10.0
98100-500,-10.0
98150-500,-10.0
98200-500,-10.0
98250-500,-10.0
98300-500,-10.0
98350-500,-10.0
98400-500,-10.0
98450-500,-10.0
98500-500,-10.0
98550-500,-10.0
98600-500,-10.0
98650-500,-10.0
98700-500,-10.0
98750-500,-10.0
98800-500,-10.0
98850-500,-10.0
98900-500,-10.0
98950-500,-10.0
99000-500,-10.0
99050-500,-10.0
99100-500,-10.0
99150-500,-10.0
99200-500,-10.0
99250-500,-10.0
99300-500,-10.0
99350-500,-10.0
99400-500,-10.0
99450-500,-10.0
99500-500,-10.0
99550-500,-10.0
99600-500,-10.0
99650-500,-10.0
99700-500,-10.0
99750-500,-10.0
99800-500,-10.0
99850-500,-10.0
99900-500,-10.0
99950-500,-10.0
100000-500,-10.0
100050-500,-10.0
100100-500,-10.0
100150-500,-10.0
100200-500,-10.0
100250-500,-10.0
100300-500,-10.0
100350-500,-10.0
100400-500,-10.0
100450-500,-10.0
100500-500,-10.0
100550-500,-10.0
100600-500,-10.0
100650-500,-10.0
100700-500,-10.0
100750-500,-10.0
100800-500,-10.0
100850-500,-10.0
100900-500,-10.0
100950-500,-10.0
101000-500,-10.0
101050-500,-10.0
101100-500,-10.0
101150-500,-10.0
101200-500,-10.0
101250-500,-10.0
101300-500,-10.0
101350-500,-10.0
101400-500,-10.0
101450-500,-10.0
101500-500,-10.0
101550-500,-10.0
101600-500,-10.0
101650-500,-10.0
101700-500,-10.0
101750-500,-10.0
101800-500,-10.0
101850-500,-10.0
101900-500,-10.0
101950-500,-10.0
102000-500,-10.0
102050-500,-10.0
102100-500,-10.0
102150-500,-10.0
102200-500,-10.0
102250-500,-10.0
102300-500,-10.0
102350-500,-10.0
102400-500,-10.0
102450-500,-10.0
102500-500,-10.0
102550-500,-10.0
102600-500,-10.0
102650-500,-10.0
102700-500,-10.0
102750-500,-10.0
102800-500,-10.0
102850-500,-10.0
102900-500,-10.0
102950-500,-10.0
103000-500,-10.0
103050-500,-10.0
103100-500,-10.0
103150-500,-10.0
103200-500,-10.0
103250-500,-10.0
103300-500,-10.0
103350-500,-10.0
103400-500,-10.0
103450-500,-10.0
103500-500,-10.0
103550-500,-10.0
103600-500,-10.0
103650-500,-10.0
103700-500,-10.0
103750-500,-10.0
103800-500,-10.0
103850-500,-10.0
103900-500,-10.0
103950-500,-10.0
104000-500,-10.0
104050-500,-10.0
104100-500,-10.0
104150-500,-10.0
104200-500,-10.0
104250-500,-10.0
104300-500,-10.0
104350-500,-10.0
104400-500,-10.0
104450-500,-10.0
104500-500,-10.0
104550-500,-10.0
104600-500,-10.0
104650-500,-10.0
104700-500,-10.0
104750-500,-10.0
104800-500,-10.0
104850-500,-10.0
104900-500,-10.0
104950-500,-10.0
105000-500,-10.0
105050-500,-10.0
105100-500,-10.0
105150-500,-10.0
105200-500,-10.0
105250-500,-10.0
105300-500,-10.0
105350-500,-10.0
105400-500,-10.0
105450-500,-10.0
105500-500,-10.0
105550-500,-10.0
105600-500,-10.0
105650-500,-10.0
105700-500,-10.0
105750-500,-10.0
105800-500,-10.0
105850-500,-10.0
105900-500,-10.0
105950-500,-10.0
106000-500,-10.0
106050-500,-10.0
106100-500,-10.0
106150-500,-10.0
106200-500,-10.0
106250-500,-10.0
106300-500,-10.0
106350-500,-10.0
106400-500,-10.0
106450-500,-10.0
106500-500,-10.0
106550-500,-10.0
106600-500,-10.0
106650-500,-10.0
106700-500,-10.0
106750-500,-10.0
106800-500,-10.0
106850-500,-10.0
106900-500,-10.0
106950-500,-10.0
107000-500,-10.0
107050-500,-10.0
107100-500,-10.0
107150-500,-10.0
107200-500,-10.0
107250-500,-10.0
107300-500,-10.0
107350-500,-10.0
107400-500,-10.0
107450-500,-10.0
107500-500,-10.0
107550-500,-10.0
107600-500,-10.0
107650-500,-10.0
107700-500,-10.0
107750-500,-10.0
107800-500,-10.0
107850-500,-10.0
107900-500,-10.0
107950-500,-10.0
108000-500,-10.0
108050-500,-10.0
108100-500,-10.0
108150-500,-10.0
108200-500,-10.0
108250-500,-10.0
108300-500,-10.0
108350-500,-10.0
108400-500,-10.0
108450-500,-10.0
108500-500,-10.0
108550-500,-10.0
108600-500,-10.0
108650-500,-10.0
108700-500,-10.0
108750-500,-10.0
108800-500,-10.0
108850-500,-10.0
108900-500,-10.0
108950-500,-10.0
109000-500,-10.0
109050-500,-10.0
109100-500,-10.0
109150-500,-10.0
109200-500,-10.0
109250-500,-10.0
109300-500,-10.0
109350-500,-10.0
109400-500,-10.0
109450-500,-10.0
109500-500,-10.0
109550-500,-10.0
109600-500,-10.0
109650-500,-10.0
109700-500,-10.0
109750-500,-10.0
109800-500,-10.0
109850-500,-10.0
109900-500,-10.0
109950-500,-10.0
110000-500,-10.0
110050-500,-10.0
110100-500,-10.0
110150-500,-10.0
110200-500,-10.0
110250-500,-10.0
110300-500,-10.0
110350-500,-10.0
110400-500,-10.0
110450-500,-10.0
110500-500,-10.0
110550-500,-10.0
110600-500,-10.0
110650-500,-10.0
110700-500,-10.0
110750-500,-10.0
110800-500,-10.0
110850-500,-10.0
110900-500,-10.0
110950-500,-10.0
111000-500,-10.0
111050-500,-10.0
111100-500,-10.0
111150-500,-10.0
111200-500,-10.0
111250-500,-10.0
111300-500,-10.0
111350-500,-10.0
111400-500,-10.0
111450-500,-10.0
111500-500,-10.0
111550-500,-10.0
111600-500,-10.0
111650-500,-10.0
111700-500,-10.0
111750-500,-10.0
111800-500,-10.0
111850-500,-10.0
111900-500,-10.0
111950-500,-10.0
112000-500,-10.0
112050-500,-10.0
112100-500,-10.0
112150-500,-10.0
112200-500,-10.0
112250-500,-10.0
112300-500,-10.0
112350-500,-10.0
112400-500,-10.0
112450-500,-10.0
112500-500,-10.0
112550-500,-10.0
112600-500,-10.0
112650-500,-10.0
112700-500,-10.0
112750-500,-10.0
112800-500,-10.0
112850-500,-10.0
112900-500,-10.0
112950-500,-10.0
113000-500,-10.0
113050-500,-10.0
113100-500,-10.0
113150-500,-10.0
113200-500,-10.0
113250-500,-10.0
113300-500,-10.0
113350-500,-10.0
113400-500,-10.0
113450-500,-10.0
113500-500,-10.0
113550-500,-10.0
113600-500,-10.0
113650-500,-10.0
113700-500,-10.0
113750-500,-10.0
113800-500,-10.0
113850-500,-10.0
113900-500,-10.0
113950-500,-10.0
114000-500,-10.0
114050-500,-10.0
114100-500,-10.0
114150-500,-10.0
114200-500,-10.0
114250-500,-10.0
114300-500,-10.0
114350-500,-10.0
114400-500,-10.0
114450-500,-10.0
114500-500,-10.0
114550-500,-10.0
114600-500,-10.0
114650-500,-10.0
114700-500,-10.0
114750-500,-10.0
114800-500,-10.0
114850-500,-10.0
114900-500,-10.0
114950-500,-10.0
115000-500,-10.0
115050-500,-10.0
115100-500,-10.0
115150-500,-10.0
115200-500,-10.0
115250-500,-10.0
115300-500,-10.0
115350-500,-10.0
115400-500,-10.0
115450-500,-10.0
115500-500,-10.0
115550-500,-10.0
115600-500,-10.0
115650-500,-10.0
115700-500,-10.0
115750-500,-10.0
115800-500,-10.0
115850-500,-10.0
115900-500,-10.0
115950-500,-10.0
116000-500,-10.0
116050-500,-10.0
116100-500,-10.0
116150-500,-10.0
116200-500,-10.0
116250-500,-10.0
116300-500,-10.0
116350-500,-10.0
116400-500,-10.0
116450-500,-10.0
116500-500,-10.0
116550-500,-10.0
116600-500,-10.0
116650-500,-10.0
116700-500,-10.0
116750-500,-10.0
116800-500,-10.0
116850-500,-10.0
116900-500,-10.0
116950-500,-10.0
117000-500,-10.0
117050-500,-10.0
117100-500,-10.0
117150-500,-10.0
117200-500,-10.0
117250-500,-10.0
117300-500,-10.0
117350-500,-10.0
117400-500,-10.0
117450-500,-10.0
117500-500,-10.0
117550-500,-10.0
117600-500,-10.0
117650-500,-10.0
117700-500,-10.0
117750-500,-10.0
117800-500,-10.0
117850-500,-10.0
117900-500,-10.0
117950-500,-10.0
118000-500,-10.0
118050-500,-10.0
118100-500,-10.0
118150-500,-10.0
118200-500,-10.0
118250-500,-10.0
118300-500,-10.0
118350-500,-10.0
118400-500,-10.0
118450-500,-10.0
118500-500,-10.0
118550-500,-10.0
118600-500,-10.0
118650-500,-10.0
118700-500,-10.0
118750-500,-10.0
118800-500,-10.0
118850-500,-10.0
118900-500,-10.0
118950-500,-10.0
119000-500,-10.0
119050-500,-10.0
119100-500,-10.0
119150-500,-10.0
119200-500,-10.0
119250-500,-10.0
119300-500,-10.0
119350-500,-10.0
119400-500,-10.0
119450-500,-10.0
119500-500,-10.0
119550-500,-10.0
119600-500,-10.0
119650-500,-10.0
119700-500,-10.0
119750-500,-10.0
119800-500,-10.0
119850-500,-10.0
119900-500,-10.0
119950-500,-10.0
120000-500,-10.0
120050-500,-10.0
120100-500,-10.0
120150-500,-10.0
120200-500,-10.0
120250-500,-10.0
120300-500,-10.0
120350-500,-10.0
120400-500,-10.0
120450-500,-10.0
120500-500,-10.0
120550-500,-10.0
120600-500,-10.0
120650-500,-10.0
120700-500,-10.0
120750-500,-10.0
120800-500,-10.0
120850-500,-10.0
120900-500,-10.0
120950-500,-10.0
121000-500,-10.0
121050-500,-10.0
121100-500,-10.0
121150-500,-10.0
121200-500,-10.0
121250-500,-10.0
121300-500,-10.0
121350-500,-10.0
121400-500,-10.0
121450-500,-10.0
121500-500,-10.0
121550-500,-10.0
121600-500,-10.0
121650-500,-10.0
121700-500,-10.0
121750-500,-10.0
121800-500,-10.0
121850-500,-10.0
121900-500,-10.0
121950-500,-10.0
122000-500,-10.0
122050-500,-10.0
122100-500,-10.0
122150-500,-10.0
122200-500,-10.0
122250-500,-10.0
122300-500,-10.0
122350-500,-10.0
122400-500,-10.0
122450-500,-10.0
122500-500,-10.0
122550-500,-10.0
122600-500,-10.0
122650-500,-10.0
122700-500,-10.0
122750-500,-10.0
122800-500,-10.0
122850-500,-10.0
122900-500,-10.0
122950-500,-10.0
123000-500,-10.0
123050-500,-10.0
123100-500,-10.0
123150-500,-10.0
123200-500,-10.0
123250-500,-10.0
123300-500,-10.0
123350-500,-10.0
123400-500,-10.0
123450-500,-10.0
123500-500,-10.0
123550-500,-10.0
123600-500,-10.0
123650-500,-10.0
123700-500,-10.0
123750-500,-10.0
123800-500,-10.0
123850-500,-10.0
123900-500,-10.0
123950-500,-10.0
124000-500,-10.0
124050-500,-10.0
124100-500,-10.0
124150-500,-10.0
124200-500,-10.0
124250-500,-10.0
124300-500,-10.0
124350-500,-10.0
124400-500,-10.0
124450-500,-10.0
124500-500,-10.0
124550-500,-10.0
124600-500,-10.0
124650-500,-10.0
124700-500,-10.0
124750-500,-10.0
124800-500,-10.0
124850-500,-10.0
124900-500,-10.0
124950-500,-10.0
125000-500,-10.0
125050-500,-10.0
125100-500,-10.0
125150-500,-10.0
125200-500,-10.0
125250-500,-10.0
125300-500,-10.0
125350-500,-10.0
125400-500,-10.0
125450-500,-10.0
125500-500,-10.0
125550-500,-10.0
125600-500,-10.0
125650-500,-10.0
125700-500,-10.0
125750-500,-10.0
125800-500,-10.0
125850-500,-10.0
125900-500,-10.0
125950-500,-10.0
126000-500,-10.0
126050-500,-10.0
126100-500,-10.0
126150-500,-10.0
126200-500,-10.0
126250-500,-10.0
126300-500,-10.0
126350-500,-10.0
126400-500,-10.0
126450-500,-10.0
126500-500,-10.0
126550-500,-10.0
126600-500,-10.0
126650-500,-10.0
126700-500,-10.0
126750-500,-10.0
126800-500,-10.0
126850-500,-10.0
126900-500,-10.0
126950-500,-10.0
127000-500,-10.0
127050-500,-10.0
127100-500,-10.0
127150-500,-10.0
127200-500,-10.0
127250-500,-10.0
127300-500,-10.0
127350-500,-10.0
127400-500,-10.0
127450-500,-10.0
127500-500,-10.0
127550-500,-10.0
127600-500,-10.0
127650-500,-10.0
127700-500,-10.0
127750-500,-10.0
127800-500,-10.0
127850-500,-10.0
127900-500,-10.0
127950-500,-10.0
128000-500,-10.0
128050-500,-10.0
128100-500,-10.0
128150-500,-10.0
128200-500,-10.0
128250-500,-10.0
128300-500,-10.0
128350-500,-10.0
128400-500,-10.0
128450-500,-10.0
128500-500,-10.0
128550-500,-10.0
128600-500,-10.0
128650-500,-10.0
128700-500,-10.0
128750-500,-10.0
128800-500,-10.0
128850-500,-10.0
128900-500,-10.0
128950-500,-10.0
129000-500,-10.0
129050-500,-10.0
129100-500,-10.0
129150-500,-10.0
129200-500,-10.0
129250-500,-10.0
129300-500,-10.0
129350-500,-10.0
129400-500,-10.0
129450-500,-10.0
129500-500,-10.0
129550-500,-10.0
129600-500,-10.0
129650-500,-10.0
129700-500,-10.0
129750-500,-10.0
129800-500,-10.0
129850-500,-10.0
129900-500,-10.0
129950-500,-10.0
130000-500,-10.0
130050-500,-10.0
130100-500,-10.0
130150-500,-10.0
130200-500,-10.0
130250-500,-10.0
130300-500,-10.0
130350-500,-10.0
130400-500,-10.0
130450-500,-10.0
130500-500,-10.0
130550-500,-10.0
130600-500,-10.0
130650-500,-10.0
130700-500,-10.0
130750-500,-10.0
130800-500,-10.0
130850-500,-10.0
130900-500,-10.0
130950-500,-10.0
131000-500,-10.0
131050-500,-10.0
131100-500,-10.0
131150-500,-10.0
131200-500,-10.0
131250-500,-10.0
131300-500,-10.0
131350-500,-10.0
131400-500,-10.0
131450-500,-10.0
131500-500,-10.0
131550-500,-10.0
131600-500,-10.0
131650-500,-10.0
131700-500,-10.0
131750-500,-10.0
131800-500,-10.0
131850-500,-10.0
131900-500,-10.0
131950-500,-10.0
132000-500,-10.0
132050-500,-10.0
132100-500,-10.0
132150-500,-10.0
132200-500,-10.0
132250-500,-10.0
132300-500,-10.0
132350-500,-10.0
132400-500,-10.0
132450-500,-10.0
132500-500,-10.0
132550-500,-10.0
132600-500,-10.0
132650-500,-10.0
132700-500,-10.0
132750-500,-10.0
132800-500,-10.0
132850-500,-10.0
132900-500,-10.0
132950-500,-10.0
133000-500,-10.0
133050-500,-10.0
133100-500,-10.0
133150-500,-10.0
133200-500,-10.0
133250-500,-10.0
133300-500,-10.0
133350-500,-10.0
133400-500,-10.0
133450-500,-10.0
133500-500,-10.0
133550-500,-10.0
133600-500,-10.0
133650-500,-10.0
133700-500,-10.0
133750-500,-10.0
133800-500,-10.0
133850-500,-10.0
133900-500,-10.0
133950-500,-10.0
134000-500,-10.0
134050-500,-10.0
134100-500,-10.0
134150-500,-10.0
134200-500,-10.0
134250-500,-10.0
134300-500,-10.0
134350-500,-10.0
134400-500,-10.0
134450-500,-10.0
134500-500,-10.0
134550-500,-10.0
134600-500,-10.0
134650-500,-10.0
134700-500,-10.0
134750-500,-10.0
134800-500,-10.0
134850-500,-10.0
134900-500,-10.0
134950-500,-10.0
135000-500,-10.0
135050-500,-10.0
135100-500,-10.0
135150-500,-10.0
135200-500,-10.0
135250-500,-10.0
135300-500,-10.0
135350-500,-10.0
135400-500,-10.0
135450-500,-10.0
135500-500,-10.0
135550-500,-10.0
135600-500,-10.0
135650-500,-10.0
135700-500,-10.0
135750-500,-10.0
135800-500,-10.0
135850-500,-10.0
135900-500,-10.0
135950-500,-10.0
136000-500,-10.0
136050-500,-10.0
136100-500,-10.0
136150-500,-10.0
136200-500,-10.0
136250-500,-10.0
136300-500,-10.0
136350-500,-10.0
136400-500,-10.0
136450-500,-10.0
136500-500,-10.0
136550-500,-10.0
136600-500,-10.0
136650-500,-10.0
136700-500,-10.0
136750-500,-10.0
136800-500,-10.0
136850-500,-10.0
136900-500,-10.0
136950-500,-10.0
137000-500,-10.0
137050-500,-10.0
137100-500,-10.0
137150-500,-10.0
137200-500,-10.0
137250-500,-10.0
137300-500,-10.0
137350-500,-10.0
137400-500,-10.0
137450-500,-10.0
137500-500,-10.0
137550-500,-10.0
137600-500,-10.0
137650-500,-10.0
137700-500,-10.0
137750-500,-10.0
137800-500,-10.0
137850-500,-10.0
137900-500,-10.0
137950-500,-10.0
138000-500,-10.0
138050-500,-10.0
138100-500,-10.0
138150-500,-10.0
138200-500,-10.0
138250-500,-10.0
138300-500,-10.0
138350-500,-10.0
138400-500,-10.0
138450-500,-10.0
138500-500,-10.0
138550-500,-10.0
138600-500,-10.0
138650-500,-10.0
138700-500,-10.0
138750-500,-10.0
138800-500,-10.0
138850-500,-10.0
138900-500,-10.0
138950-500,-10.0
139000-500,-10.0
139050-500,-10.0
139100-500,-10.0
139150-500,-10.0
139200-500,-10.0
139250-500,-10.0
139300-500,-10.0
139350-500,-10.0
139400-500,-10.0
139450-500,-10.0
139500-500,-10.0
139550-500,-10.0
139600-500,-10.0
